Input Size,BubbleSort,InsertionSort,MergeSort,BucketSort,TimSort
10,0.0,0.10029999999999999,0.0,0.0,0.0
50,0.29969999999999997,0.2998,0.1998,0.10029999999999999,0.0995
100,1.3003999999999998,1.1006999999999998,0.5001,0.4002,0.9004999999999999
250,7.802,3.7009999999999996,1.7002000000000002,0.9994000000000002,0.4
500,31.9082,9.903000000000002,3.4006999999999996,3.7008,1.2006000000000001
750,50.012699999999995,18.5048,6.301599999999999,4.6013,1.5004
1000,116.62959999999998,28.5077,7.601899999999999,8.202,2.3007
5000,2781.9057000000003,484.8229,46.9122,129.23329999999999,16.003999999999998
7500,6067.6384,1061.1696000000002,70.3178,236.56019999999998,13.003099999999998
10000,10610.290200000001,1857.971,102.92609999999999,594.0508000000001,17.5043
